type,longitude,latitude,NDVI,NDBI,BSI,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,distriver1,distriver2,bulk_density,slope,tri,ph,soc,clay,cec,lidar_elevation_value,label
earthwork,-67.659,-10.0978,0.36080807,-0.10958414,-0.0677988226737861,25.30416679,10.47500038,70.30202484,83.67843628,32.09999847,17.20000076,14.89999771,25.68333244,24.14999962,26.01666641,24.08333397,1644,206,55,40.4288559,614,206,482,211,681668.7494,614995.8428,135.0,0.2625085413455963,3.0347778408325774,46.0,119.0,25.5,17.9,174.0,1
earthwork,-67.39,-9.8731,0.34546453,-0.123021156,-0.104716273162847,25.55833435,10.64999962,71.47650146,78.59081268,32.40000153,17.5,14.90000153,25.91666603,24.48333359,26.25,24.41666603,1775,249,37,50.74967194,719,152,435,193,668975.3406,653596.7066,132.0,1.679349422454834,6.172419738813728,48.0,99.0,25.5,16.4,190.0,1
earthwork,-67.498,-9.9638,0.4341826,-0.10107412,-0.0783371034202874,25.39999962,10.5666666,70.91722107,80.36846161,32.20000076,17.29999924,14.90000153,25.75,24.29999924,26.08333397,24.23333359,1722,229,46,45.81512451,671,178,432,202,673690.3873,638112.02,136.0,0.1652183532714843,2.739739556875232,48.0,119.0,29.6,14.6,206.0,1
earthwork,-67.697,-10.2716,0.3500943,-0.06311572,-0.040178641140555,25.28750038,10.4416666,70.55180359,85.76195526,32.0,17.20000076,14.79999924,25.68333244,24.10000038,26.03333282,24.04999924,1672,214,53,42.30635834,630,199,498,203,698648.0009,598849.4232,132.0,0.2356467396020889,0.816496580927726,48.0,109.0,21.7,14.5,206.0,1
earthwork,-67.699,-10.26,0.43616286,-0.15973528,-0.1079240214888718,25.28750038,10.4416666,70.55180359,85.76195526,32.0,17.20000076,14.79999924,25.68333244,24.10000038,26.03333282,24.04999924,1674,214,54,42.1144371,630,199,498,205,697955.7382,599324.4993,135.0,0.743938684463501,5.020943790086525,50.0,122.0,20.7,14.7,220.0,1
earthwork,-67.38,-9.8844,0.43685657,-0.14865746,-0.1116260562226435,25.60833359,10.5666666,71.39639282,78.33010864,32.40000153,17.60000038,14.80000114,25.96666718,24.53333282,26.28333282,24.46666718,1766,248,37,50.93699646,715,149,436,189,670522.9247,653544.5584,134.0,2.842132329940796,6.646265079439245,47.0,107.0,26.5,15.2,220.0,1
earthwork,-67.694,-10.302,0.40914312,-0.10218341,-0.0772824472059291,25.34166718,10.43333244,70.02237701,84.12203217,32.09999847,17.20000076,14.89999771,25.73333359,24.18333435,26.04999924,24.11666679,1659,216,50,43.70498276,632,190,498,196,701960.5653,596820.0971,134.0,1.2966715097427368,4.760952285695233,46.0,94.0,22.6,14.7,184.0,1
earthwork,-67.727,-10.4131,0.29684395,-0.005775809,0.0121938855452224,25.39999962,10.44999981,70.13421631,84.28846741,32.20000076,17.29999924,14.90000153,25.78333282,24.23333359,26.13333321,24.18333244,1659,223,47,46.53038025,643,172,505,184,712415.8169,585979.8489,132.0,1.3231874704360962,5.64593156262765,48.0,96.0,22.5,12.4,207.0,1
earthwork,-67.65,-10.2964,0.3846745,-0.09053096,-0.0763069984967429,25.45000076,10.48333359,70.35793304,82.6548233,32.20000076,17.29999924,14.90000153,25.81666756,24.31666565,26.16666603,24.25,1672,217,51,43.34119415,636,192,499,201,702826.1901,600788.094,131.0,0.9425867795944214,5.557777333511022,49.0,321.0,22.0,14.6,210.0,1
earthwork,-67.693,-10.4276,0.40157205,-0.031893004,-0.0011125093469022,25.42499924,10.51666641,70.58164978,83.67958832,32.20000076,17.29999924,14.90000153,25.79999924,24.28333282,26.14999962,24.21666718,1687,225,48,45.76189423,650,177,511,188,715143.8501,587750.3072,135.0,2.416536569595337,9.11788366174622,47.0,109.0,24.8,14.2,209.0,1
